epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,213.052,1.07633,0.71923,1.18595,0.99412,1,0.995,0.73797,1.07309,0.57732,1.23932,0.00039125,0.00039125,0.00039125
67,216.041,1.02558,0.71068,1.20013,0.9948,1,0.995,0.73745,1.13778,0.59039,1.2783,0.0003665,0.0003665,0.0003665
68,219.001,1.06195,0.72143,1.17642,0.99634,1,0.995,0.72904,1.14498,0.59428,1.2839,0.00034175,0.00034175,0.00034175
69,221.884,1.02978,0.70003,1.18549,0.9962,1,0.995,0.75227,1.11828,0.5761,1.27043,0.000317,0.000317,0.000317
70,224.81,1.11291,0.73656,1.20106,0.9966,1,0.995,0.74896,1.0868,0.58885,1.23829,0.00029225,0.00029225,0.00029225
71,254.344,1.03441,0.88411,1.25566,0.99573,1,0.995,0.72757,1.12522,0.6051,1.24007,0.0002675,0.0002675,0.0002675
72,257.715,1.01298,0.84247,1.21755,0.99677,1,0.995,0.72791,1.08275,0.60977,1.22543,0.00024275,0.00024275,0.00024275
73,261.142,0.9726,0.83558,1.20083,0.99731,1,0.995,0.72594,1.02932,0.56831,1.22117,0.000218,0.000218,0.000218
74,264.827,0.99449,0.80752,1.19753,0.99739,1,0.995,0.73706,1.06591,0.60196,1.22916,0.00019325,0.00019325,0.00019325
75,267.757,0.95737,0.77923,1.19243,0.997,1,0.995,0.7512,1.07079,0.57159,1.21708,0.0001685,0.0001685,0.0001685
76,270.944,0.99444,0.77428,1.15549,0.99677,1,0.995,0.74856,1.06758,0.55834,1.20505,0.00014375,0.00014375,0.00014375
77,274.162,0.99179,0.76861,1.17476,0.99666,1,0.995,0.7517,1.08083,0.56778,1.20683,0.000119,0.000119,0.000119
78,277.178,0.97337,0.76454,1.22103,0.99706,1,0.995,0.74876,1.06873,0.55691,1.19598,9.425e-05,9.425e-05,9.425e-05
79,280.383,0.98195,0.76763,1.21638,0.99707,1,0.995,0.75385,1.07104,0.55413,1.20025,6.95e-05,6.95e-05,6.95e-05
80,283.399,0.97588,0.75007,1.16179,0.99717,1,0.995,0.75442,1.04739,0.55582,1.19076,4.475e-05,4.475e-05,4.475e-05
