epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,590.511,2.38261,2.00482,1.74959,0.61199,0.61538,0.60658,0.23857,2.14221,1.89387,1.62926,0.00234462,0.000781538,0.00234462,0.000781538,0.00234462,0.000781538,0.00234462,0.000781538
42,604.876,2.35618,1.91606,1.69061,0.61414,0.61224,0.64386,0.26887,2.12048,1.81778,1.61049,0.00225323,0.000751077,0.00225323,0.000751077,0.00225323,0.000751077,0.00225323,0.000751077
43,619.377,2.30294,1.88568,1.6902,0.58166,0.61538,0.62292,0.27985,2.12621,1.73388,1.61199,0.00216185,0.000720615,0.00216185,0.000720615,0.00216185,0.000720615,0.00216185,0.000720615
44,634.352,2.2553,1.71529,1.61127,0.60325,0.61538,0.62644,0.26939,2.08454,1.80402,1.60394,0.00207046,0.000690154,0.00207046,0.000690154,0.00207046,0.000690154,0.00207046,0.000690154
45,649.087,2.27383,1.76183,1.6416,0.58584,0.66667,0.63446,0.28473,2.05448,1.74436,1.59279,0.00197908,0.000659692,0.00197908,0.000659692,0.00197908,0.000659692,0.00197908,0.000659692
46,663.693,2.21695,1.71383,1.59652,0.62258,0.67689,0.63635,0.29843,2.05853,1.63501,1.58733,0.00188769,0.000629231,0.00188769,0.000629231,0.00188769,0.000629231,0.00188769,0.000629231
47,678.415,2.29354,1.78853,1.67455,0.63116,0.71795,0.66819,0.30959,2.02441,1.5655,1.55081,0.00179631,0.000598769,0.00179631,0.000598769,0.00179631,0.000598769,0.00179631,0.000598769
48,693.4,2.21549,1.67414,1.59122,0.61387,0.74359,0.69464,0.31375,2.03549,1.52438,1.55088,0.00170492,0.000568308,0.00170492,0.000568308,0.00170492,0.000568308,0.00170492,0.000568308
49,708.201,2.14754,1.77506,1.56368,0.70332,0.72959,0.78546,0.32808,2.01991,1.54291,1.54655,0.00161354,0.000537846,0.00161354,0.000537846,0.00161354,0.000537846,0.00161354,0.000537846
50,722.312,2.18719,1.6072,1.6094,0.71452,0.77012,0.80018,0.35275,1.95062,1.46768,1.52303,0.00152215,0.000507385,0.00152215,0.000507385,0.00152215,0.000507385,0.00152215,0.000507385
51,737.283,2.1748,1.63921,1.61113,0.67686,0.91318,0.786,0.37897,1.9231,1.43709,1.51833,0.00143077,0.000476923,0.00143077,0.000476923,0.00143077,0.000476923,0.00143077,0.000476923
