epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,210.835,0.90237,0.92346,1.15971,0.99604,1,0.995,0.77972,0.89015,0.55921,1.20624,0.0002675,0.0002675,0.0002675
72,213.884,0.89827,0.89894,1.1503,1,0.9689,0.9945,0.77547,0.8438,0.66503,1.19225,0.00024275,0.00024275,0.00024275
73,216.405,0.85437,0.88769,1.11665,1,0.99557,0.995,0.77636,0.86549,0.60322,1.19767,0.000218,0.000218,0.000218
74,218.931,0.87808,0.82562,1.13089,0.99794,1,0.995,0.78705,0.82013,0.55182,1.15552,0.00019325,0.00019325,0.00019325
75,221.473,0.87084,0.82779,1.15833,0.99788,1,0.995,0.80521,0.78,0.53134,1.13922,0.0001685,0.0001685,0.0001685
76,224.022,0.82113,0.81792,1.07922,0.99778,1,0.995,0.78897,0.79181,0.53224,1.14867,0.00014375,0.00014375,0.00014375
77,226.553,0.81733,0.794,1.0928,0.99759,1,0.995,0.78833,0.79071,0.5406,1.14661,0.000119,0.000119,0.000119
78,229.036,0.82666,0.83802,1.13472,0.99758,1,0.995,0.81482,0.75639,0.53906,1.12842,9.425e-05,9.425e-05,9.425e-05
79,231.514,0.84291,0.81838,1.1469,0.99779,1,0.995,0.82085,0.77343,0.5225,1.12975,6.95e-05,6.95e-05,6.95e-05
80,233.984,0.7884,0.78351,1.08228,0.99789,1,0.995,0.80254,0.7743,0.51998,1.12614,4.475e-05,4.475e-05,4.475e-05
